Average females per simulations :             3.75479537E7
Average males per simulations   :             3.754764943E7
Average deaths per simulations  :             3.256174041E7
Average population size per simulations :     7.509560313E7
Average births per simulations          :     5.752501618E7

Average % females per simulations. :     50.0%
Average % males per simulations.   :     50.0%

------------ SIMULATION -------------

(10,9360026)

(11,14784085)

(12,20779995)

(13,31772309)

(14,51915629)

(15,86678020)
------------ SIMULATION -------------

(1,8)

(2,51)

(3,227)

(4,1157)

(5,5545)

(6,27563)

(7,138091)

(8,690333)

(9,3454380)

(10,5948388)

(11,12386582)

(12,25556177)

(13,36942573)

(14,59565624)

(15,87393438)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,218)

(4,1127)

(5,5442)

(6,27008)

(7,135655)

(8,677487)

(9,3381568)

(10,5673739)

(11,12016219)

(12,24199402)

(13,37911009)

(14,60840574)

(15,84336229)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,178)

(4,816)

(5,3891)

(6,19275)

(7,94499)

(8,470332)

(9,2350767)

(10,4076917)

(11,8399539)

(12,17416378)

(13,26096425)

(14,40145038)

(15,65949029)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,160)

(4,819)

(5,4178)

(6,21226)

(7,105921)

(8,527489)

(9,2632010)

(10,4491518)

(11,9426663)

(12,19146599)

(13,29463682)

(14,45425249)

(15,70309316)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,193)

(4,961)

(5,4909)

(6,25096)

(7,126933)

(8,633912)

(9,3158043)

(10,5375794)

(11,11170217)

(12,23117243)

(13,35544453)

(14,52537950)

(15,76211305)
------------ SIMULATION -------------

(1,8)

(2,51)

(3,265)

(4,1311)

(5,6611)

(6,33013)

(7,164073)

(8,823036)

(9,4110345)

(10,6592162)

(11,14777311)

(12,29107553)

(13,41861992)

(14,68670190)

(15,98153271)
------------ SIMULATION -------------

(1,8)

(2,61)

(3,310)

(4,1650)

(5,8404)

(6,42197)

(7,211760)

(8,1056433)

(9,5274370)

(10,8925135)

(11,19458523)

(12,31158321)

(13,45813151)

(14,66538713)

(15,98604330)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,178)

(4,762)

(5,3967)

(6,20145)

(7,101762)

(8,508464)

(9,2536378)

(10,4031691)

(11,8848895)

(12,16957925)

(13,25289914)

(14,40150379)

(15,64317649)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,160)

(4,894)

(5,4605)

(6,23436)

(7,117522)

(8,585717)

(9,2918352)

(10,4583525)

(11,10045796)

(12,20605168)

(13,31914180)

(14,48210773)

(15,70470751)
------------ SIMULATION -------------

(1,8)

(2,51)

(3,241)

(4,1252)

(5,6612)

(6,33144)

(7,164491)

(8,819861)

(9,4094330)

(10,7049663)

(11,15527538)

(12,31072258)

(13,47677632)

(14,73201063)

(15,107299227)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,205)

(4,914)

(5,4540)

(6,22412)

(7,112115)

(8,561977)

(9,2805698)

(10,4541436)

(11,10002761)

(12,20344637)

(13,31090862)

(14,47883365)

(15,70314614)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,190)

(4,976)

(5,4793)

(6,23875)

(7,120137)

(8,599137)

(9,2995964)

(10,4948432)

(11,10515965)

(12,21259596)

(13,33330990)

(14,49165688)

(15,70961280)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,202)

(4,1008)

(5,5018)

(6,25313)

(7,127309)

(8,638696)

(9,3200017)

(10,5361853)

(11,11715608)

(12,22598897)

(13,33805526)

(14,54120105)

(15,76632682)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,172)

(4,796)

(5,3938)

(6,20005)

(7,101248)

(8,505093)

(9,2529654)

(10,4265010)

(11,9150544)

(12,17722131)

(13,27035653)

(14,39734973)

(15,62469605)
------------ SIMULATION -------------

(1,8)

(2,16)

(3,78)

(4,335)

(5,1596)

(6,8076)

(7,39939)

(8,199467)

(9,998473)

(10,4985003)

(11,7927269)

(12,17267289)

(13,25253516)

(14,39928081)

(15,64245145)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,142)

(4,696)

(5,3490)

(6,17317)

(7,86589)

(8,433335)

(9,2167150)

(10,3551879)

(11,7791939)

(12,14981813)

(13,23340725)

(14,34423617)

(15,57880030)
------------ SIMULATION -------------

(1,8)

(2,19)

(3,82)

(4,297)

(5,1419)

(6,6910)

(7,34474)

(8,172895)

(9,859719)

(10,4291815)

(11,7252751)

(12,15777556)

(13,23608664)

(14,35613694)

(15,55429146)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,178)

(4,911)

(5,4303)

(6,20842)

(7,104564)

(8,522355)

(9,2609269)

(10,4273158)

(11,9509330)

(12,18939572)

(13,29445161)

(14,44367120)

(15,72303779)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,151)

(4,714)

(5,3793)

(6,18898)

(7,94672)

(8,472661)

(9,2360553)

(10,3942127)

(11,8650535)

(12,16934848)

(13,25078859)

(14,39890673)

(15,64848576)
------------ SIMULATION -------------

(1,8)

(2,19)

(3,82)

(4,321)

(5,1488)

(6,7440)

(7,37276)

(8,186011)

(9,925612)

(10,4621910)

(11,7536884)

(12,16829568)

(13,25861759)

(14,39254676)

(15,63328737)
------------ SIMULATION -------------

(1,8)

(2,51)

(3,241)

(4,1189)

(5,6205)

(6,31097)

(7,156262)

(8,780117)

(9,3893491)

(10,6218335)

(11,13970146)

(12,28107692)

(13,43218839)

(14,69894598)

(15,101244251)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,132)

(4,703)

(5,3528)

(6,17569)

(7,87571)

(8,437611)

(9,2183512)

(10,3610335)

(11,7894966)

(12,15601784)

(13,22800151)

(14,36360855)

(15,58367318)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,204)

(4,1066)

(5,5454)

(6,27420)

(7,138569)

(8,692299)

(9,3455134)

(10,5859241)

(11,12411727)

(12,24429087)

(13,38529461)

(14,58794468)

(15,88135716)
------------ SIMULATION -------------

(1,8)

(2,51)

(3,220)

(4,1027)

(5,4987)

(6,25318)

(7,126381)

(8,633041)

(9,3163465)

(10,5331335)

(11,11618345)

(12,23637210)

(13,34364494)

(14,53854978)

(15,80405039)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,234)

(4,1177)

(5,5755)

(6,28478)

(7,143220)

(8,715236)

(9,3575057)

(10,6073190)

(11,12945650)

(12,26511746)

(13,40484016)

(14,64343995)

(15,94114967)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,155)

(4,788)

(5,3934)

(6,19537)

(7,97406)

(8,486634)

(9,2430454)

(10,3897871)

(11,8459085)

(12,17229315)

(13,26086766)

(14,38813522)

(15,62653853)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,218)

(4,1057)

(5,5167)

(6,25655)

(7,128254)

(8,641439)

(9,3203564)

(10,5589689)

(11,12254759)

(12,23909614)

(13,37880849)

(14,55354143)

(15,77616380)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,193)

(4,943)

(5,4797)

(6,23970)

(7,120583)

(8,600445)

(9,2995358)

(10,5101206)

(11,10639586)

(12,22152000)

(13,31685894)

(14,48476209)

(15,70654856)
------------ SIMULATION -------------

(1,8)

(2,61)

(3,320)

(4,1771)

(5,9312)

(6,46252)

(7,231301)

(8,1155119)

(9,5773483)

(10,9238570)

(11,20113865)

(12,31995459)

(13,49820089)

(14,70708744)

(15,99237933)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,105)

(4,543)

(5,2489)

(6,12405)

(7,61756)

(8,309451)

(9,1546523)

(10,7725601)

(11,13460376)

(12,20189073)

(13,32254194)

(14,51221711)

(15,80243150)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,196)

(4,987)

(5,4852)

(6,23390)

(7,117582)

(8,586720)

(9,2927527)

(10,5001090)

(11,10357322)

(12,20948464)

(13,31088512)

(14,47678215)

(15,67937229)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,160)

(4,694)

(5,3558)

(6,18016)

(7,91596)

(8,457520)

(9,2286189)

(10,3952086)

(11,8393896)

(12,16584948)

(13,25855357)

(14,39119178)

(15,64115384)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,169)

(4,703)

(5,3319)

(6,16144)

(7,81199)

(8,404762)

(9,2019489)

(10,10085271)

(11,16323179)

(12,23496474)

(13,37845845)

(14,61334866)

(15,87827233)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,176)

(4,866)

(5,4311)

(6,21438)

(7,109048)

(8,545533)

(9,2731431)

(10,4480443)

(11,9886389)

(12,18746811)

(13,28889711)

(14,45882743)

(15,74216814)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,193)

(4,983)

(5,4939)

(6,24946)

(7,125122)

(8,622934)

(9,3113099)

(10,5060991)

(11,10708422)

(12,20654290)

(13,31709825)

(14,50670035)

(15,72528290)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,176)

(4,879)

(5,4404)

(6,22015)

(7,111449)

(8,556362)

(9,2779634)

(10,4817282)

(11,10042909)

(12,20869708)

(13,31706610)

(14,48302352)

(15,71713218)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,151)

(4,744)

(5,3729)

(6,19002)

(7,95663)

(8,478188)

(9,2385067)

(10,3788947)

(11,8383950)

(12,16961922)

(13,24886063)

(14,39672114)

(15,64596935)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,164)

(4,816)

(5,4030)

(6,19924)

(7,100191)

(8,500098)

(9,2498049)

(10,4119137)

(11,8695371)

(12,17284221)

(13,26724454)

(14,41320789)

(15,67501573)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,155)

(4,715)

(5,3538)

(6,17932)

(7,89216)

(8,448603)

(9,2244697)

(10,3611812)

(11,8004322)

(12,15945715)

(13,23881726)

(14,35678924)

(15,55386263)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,234)

(4,1177)

(5,6015)

(6,29500)

(7,147945)

(8,738811)

(9,3686097)

(10,6335348)

(11,13191575)

(12,26145015)

(13,41046050)

(14,63972580)

(15,89158438)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,160)

(4,762)

(5,3960)

(6,19638)

(7,98460)

(8,491688)

(9,2457555)

(10,3929343)

(11,8381924)

(12,17015021)

(13,24531827)

(14,40391102)

(15,65181720)
------------ SIMULATION -------------

(1,8)

(2,19)

(3,76)

(4,366)

(5,1780)

(6,8936)

(7,44108)

(8,221593)

(9,1108956)

(10,5536967)

(11,9183953)

(12,19763865)

(13,29245257)

(14,44923252)

(15,65303964)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,178)

(4,929)

(5,4529)

(6,22802)

(7,114219)

(8,567672)

(9,2835591)

(10,4692752)

(11,9963248)

(12,20570153)

(13,30542709)

(14,45119142)

(15,62947882)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,169)

(4,859)

(5,4358)

(6,22363)

(7,111952)

(8,560111)

(9,2799677)

(10,4524286)

(11,9963520)

(12,20029613)

(13,29201177)

(14,44955036)

(15,65799693)
------------ SIMULATION -------------

(1,8)

(2,19)

(3,102)

(4,459)

(5,2475)

(6,12415)

(7,63209)

(8,316753)

(9,1583900)

(10,7914990)

(11,12761471)

(12,19214089)

(13,31332470)

(14,48060870)

(15,76045649)
------------ SIMULATION -------------

(1,8)

(2,51)

(3,250)

(4,1176)

(5,6150)

(6,30722)

(7,153861)

(8,768143)

(9,3828776)

(10,6017785)

(11,13715101)

(12,27166124)

(13,41208875)

(14,63887118)

(15,92585560)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,176)

(4,879)

(5,4633)

(6,23086)

(7,116378)

(8,581058)

(9,2908234)

(10,4911924)

(11,10726798)

(12,21302905)

(13,33780427)

(14,50930568)

(15,77456153)
------------ SIMULATION -------------

(1,8)

(2,41)

(3,196)

(4,951)

(5,5132)

(6,25688)

(7,128356)

(8,639048)

(9,3192517)

(10,5344889)

(11,11298489)

(12,22301937)

(13,34912711)

(14,54332169)

(15,82216207)
------------ SIMULATION -------------

(1,8)

(2,36)

(3,199)

(4,939)

(5,4644)

(6,23365)

(7,117347)

(8,586682)

(9,2931955)

(10,4926012)

(11,10875794)

(12,21068037)

(13,31652499)

(14,50379387)

(15,68295923)
------------ SIMULATION -------------

(1,8)

(2,29)

(3,151)

(4,704)

(5,3534)

(6,17290)

(7,86631)

(8,434748)

